topic,word,sentence,context_before,context_after,source,title
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security latest updates palestinian officials reported casualties,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,Reuters,Israel Launches Military Operation in Gaza
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security palestinian officials reported casualties,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,New York Times,Gaza Conflict Escalates as Violence Continues - Report
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security breaking news the conflict has drawn international attention,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,New York Times,Israel Launches Military Operation in Gaza: What We Know
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory breaking news israeli officials stated the operation was successful,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,Guardian,Hamas Militants Fire Rockets at Israel - Analysis
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties analysis the military operation lasted several hours,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,Guardian,Hamas Militants Fire Rockets at Israel - Report
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties breaking news the military operation lasted several hours,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,BBC,Gaza Conflict Escalates as Violence Continues
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory report the conflict has drawn international attention,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,CNN,Hamas Militants Fire Rockets at Israel - Breaking News
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security analysis palestinian officials reported casualties,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,Reuters,Israel Launches Military Operation in Gaza - Report
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties latest updates palestinian officials reported casualties,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,CNN,Hamas Militants Fire Rockets at Israel - Latest Updates
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties analysis the military operation lasted several hours,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,BBC,Hamas Militants Fire Rockets at Israel - Analysis
