id,url,title,content,topic,source,authors,publish_date,extraction_date,word_count
gaza_001,https://example-news.com/gaza/article-1,Israel Launches Military Operation in Gaza - Report,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. Palestinian officials reported casualties.,gaza,New York Times,['Journalist 37'],2024-09-15T00:00:00,2024-01-15T10:00:00,49
gaza_002,https://example-news.com/gaza/article-2,Israeli Forces Target Terrorist Infrastructure - Latest Updates,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory.: What We Know Humanitarian organizations expressed concern.,gaza,BBC,['Journalist 21'],2024-09-30T00:00:00,2024-01-15T10:00:00,52
gaza_003,https://example-news.com/gaza/article-3,Civilian Casualties Reported in Gaza Strikes,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Latest Updates Palestinian officials reported casualties.,gaza,CNN,['Journalist 45'],2024-06-05T00:00:00,2024-01-15T10:00:00,52
gaza_004,https://example-news.com/gaza/article-4,Israel Launches Military Operation in Gaza - Report,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Report Humanitarian organizations expressed concern.,gaza,Guardian,['Journalist 45'],2024-03-05T00:00:00,2024-01-15T10:00:00,51
gaza_005,https://example-news.com/gaza/article-5,Israel Launches Military Operation in Gaza - Breaking News,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory.: What We Know Israeli officials stated the operation was successful.,gaza,Reuters,['Journalist 28'],2024-02-11T00:00:00,2024-01-15T10:00:00,55
gaza_006,https://example-news.com/gaza/article-6,Israel Launches Military Operation in Gaza - Report,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Report Humanitarian organizations expressed concern.",gaza,BBC,['Journalist 2'],2024-09-13T00:00:00,2024-01-15T10:00:00,59
gaza_007,https://example-news.com/gaza/article-7,Israel Launches Military Operation in Gaza - Breaking News,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Breaking News Israeli officials stated the operation was successful.,gaza,Reuters,['Journalist 45'],2024-08-11T00:00:00,2024-01-15T10:00:00,56
gaza_008,https://example-news.com/gaza/article-8,Civilian Casualties Reported in Gaza Strikes - Latest Updates,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Analysis Palestinian officials reported casualties.",gaza,Reuters,['Journalist 48'],2023-11-16T00:00:00,2024-01-15T10:00:00,49
gaza_009,https://example-news.com/gaza/article-9,Gaza Conflict Escalates as Violence Continues: What We Know,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. Israeli officials stated the operation was successful.",gaza,New York Times,['Journalist 11'],2024-02-14T00:00:00,2024-01-15T10:00:00,50
gaza_010,https://example-news.com/gaza/article-10,Civilian Casualties Reported in Gaza Strikes,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Latest Updates Israeli officials stated the operation was successful.",gaza,Guardian,['Journalist 46'],2023-11-16T00:00:00,2024-01-15T10:00:00,53
